QR;ID del paquet de bosses;ID Extern de bossa (individual);Assignat?
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149373;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149374;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149375;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149376;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149377;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149378;No
./data/QR/35RSU/GB035R004741.png;GB035R004741;802A00149379;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129360;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129361;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129362;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129363;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129364;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129365;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129366;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129367;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129368;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129369;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129370;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129371;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129372;No
./data/QR/35RSU/GB035R004742.png;GB035R004742;802A00129373;No
